Datekey,FullDateLabel,CalendarYear,CalendarQuarterLabel,CalendarMonthLabel,CalendarDayOfWeekLabel
2005-01-01,2005-01-01,2005,Q1,January,Saturday
2005-01-02,2005-01-02,2005,Q1,January,Sunday
2005-01-03,2005-01-03,2005,Q1,January,Monday
2005-01-04,2005-01-04,2005,Q1,January,Tuesday
2005-01-05,2005-01-05,2005,Q1,January,Wednesday
2005-01-06,2005-01-06,2005,Q1,January,Thursday
2005-01-07,2005-01-07,2005,Q1,January,Friday
2005-01-08,2005-01-08,2005,Q1,January,Saturday
2005-01-09,2005-01-09,2005,Q1,January,Sunday
2005-01-10,2005-01-10,2005,Q1,January,Monday
2005-01-11,2005-01-11,2005,Q1,January,Tuesday
2005-01-12,2005-01-12,2005,Q1,January,Wednesday
2005-01-13,2005-01-13,2005,Q1,January,Thursday
2005-01-14,2005-01-14,2005,Q1,January,Friday
2005-01-15,2005-01-15,2005,Q1,January,Saturday
2005-01-16,2005-01-16,2005,Q1,January,Sunday
2005-01-17,2005-01-17,2005,Q1,January,Monday
2005-01-18,2005-01-18,2005,Q1,January,Tuesday
2005-01-19,2005-01-19,2005,Q1,January,Wednesday
2005-01-20,2005-01-20,2005,Q1,January,Thursday
2005-01-21,2005-01-21,2005,Q1,January,Friday
2005-01-22,2005-01-22,2005,Q1,January,Saturday
2005-01-23,2005-01-23,2005,Q1,January,Sunday
2005-01-24,2005-01-24,2005,Q1,January,Monday
2005-01-25,2005-01-25,2005,Q1,January,Tuesday
2005-01-26,2005-01-26,2005,Q1,January,Wednesday
2005-01-27,2005-01-27,2005,Q1,January,Thursday
2005-01-28,2005-01-28,2005,Q1,January,Friday
2005-01-29,2005-01-29,2005,Q1,January,Saturday
2005-01-30,2005-01-30,2005,Q1,January,Sunday
2005-01-31,2005-01-31,2005,Q1,January,Monday
2005-02-01,2005-02-01,2005,Q1,February,Tuesday
2005-02-02,2005-02-02,2005,Q1,February,Wednesday
2005-02-03,2005-02-03,2005,Q1,February,Thursday
2005-02-04,2005-02-04,2005,Q1,February,Friday
2005-02-05,2005-02-05,2005,Q1,February,Saturday
2005-02-06,2005-02-06,2005,Q1,February,Sunday
2005-02-07,2005-02-07,2005,Q1,February,Monday
2005-02-08,2005-02-08,2005,Q1,February,Tuesday
2005-02-09,2005-02-09,2005,Q1,February,Wednesday
2005-02-10,2005-02-10,2005,Q1,February,Thursday
2005-02-11,2005-02-11,2005,Q1,February,Friday
2005-02-12,2005-02-12,2005,Q1,February,Saturday
2005-02-13,2005-02-13,2005,Q1,February,Sunday
2005-02-14,2005-02-14,2005,Q1,February,Monday
2005-02-15,2005-02-15,2005,Q1,February,Tuesday
2005-02-16,2005-02-16,2005,Q1,February,Wednesday
2005-02-17,2005-02-17,2005,Q1,February,Thursday
2005-02-18,2005-02-18,2005,Q1,February,Friday
2005-02-19,2005-02-19,2005,Q1,February,Saturday
2005-02-20,2005-02-20,2005,Q1,February,Sunday
2005-02-21,2005-02-21,2005,Q1,February,Monday
2005-02-22,2005-02-22,2005,Q1,February,Tuesday
2005-02-23,2005-02-23,2005,Q1,February,Wednesday
2005-02-24,2005-02-24,2005,Q1,February,Thursday
2005-02-25,2005-02-25,2005,Q1,February,Friday
2005-02-26,2005-02-26,2005,Q1,February,Saturday
2005-02-27,2005-02-27,2005,Q1,February,Sunday
2005-02-28,2005-02-28,2005,Q1,February,Monday
2005-03-01,2005-03-01,2005,Q1,March,Tuesday
2005-03-02,2005-03-02,2005,Q1,March,Wednesday
2005-03-03,2005-03-03,2005,Q1,March,Thursday
2005-03-04,2005-03-04,2005,Q1,March,Friday
2005-03-05,2005-03-05,2005,Q1,March,Saturday
2005-03-06,2005-03-06,2005,Q1,March,Sunday
2005-03-07,2005-03-07,2005,Q1,March,Monday
2005-03-08,2005-03-08,2005,Q1,March,Tuesday
2005-03-09,2005-03-09,2005,Q1,March,Wednesday
2005-03-10,2005-03-10,2005,Q1,March,Thursday
2005-03-11,2005-03-11,2005,Q1,March,Friday
2005-03-12,2005-03-12,2005,Q1,March,Saturday
2005-03-13,2005-03-13,2005,Q1,March,Sunday
2005-03-14,2005-03-14,2005,Q1,March,Monday
2005-03-15,2005-03-15,2005,Q1,March,Tuesday
2005-03-16,2005-03-16,2005,Q1,March,Wednesday
2005-03-17,2005-03-17,2005,Q1,March,Thursday
2005-03-18,2005-03-18,2005,Q1,March,Friday
2005-03-19,2005-03-19,2005,Q1,March,Saturday
2005-03-20,2005-03-20,2005,Q1,March,Sunday
2005-03-21,2005-03-21,2005,Q1,March,Monday
2005-03-22,2005-03-22,2005,Q1,March,Tuesday
2005-03-23,2005-03-23,2005,Q1,March,Wednesday
2005-03-24,2005-03-24,2005,Q1,March,Thursday
2005-03-25,2005-03-25,2005,Q1,March,Friday
2005-03-26,2005-03-26,2005,Q1,March,Saturday
2005-03-27,2005-03-27,2005,Q1,March,Sunday
2005-03-28,2005-03-28,2005,Q1,March,Monday
2005-03-29,2005-03-29,2005,Q1,March,Tuesday
2005-03-30,2005-03-30,2005,Q1,March,Wednesday
2005-03-31,2005-03-31,2005,Q1,March,Thursday
2005-04-01,2005-04-01,2005,Q2,April,Friday
2005-04-02,2005-04-02,2005,Q2,April,Saturday
2005-04-03,2005-04-03,2005,Q2,April,Sunday
2005-04-04,2005-04-04,2005,Q2,April,Monday
2005-04-05,2005-04-05,2005,Q2,April,Tuesday
2005-04-06,2005-04-06,2005,Q2,April,Wednesday
2005-04-07,2005-04-07,2005,Q2,April,Thursday
2005-04-08,2005-04-08,2005,Q2,April,Friday
2005-04-09,2005-04-09,2005,Q2,April,Saturday
2005-04-10,2005-04-10,2005,Q2,April,Sunday
