ProductKey,ProductLabel,ProductName,Manufacturer,BrandName,ClassName,ColorName,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
1,101001,Contoso Reproductor MP3 de 512 MB E51 Plata,"Contoso, Ltd",Contoso,Economía,Plata,Alto,6.62,12.99,2005-05-03,Activad
2,101002,Contoso Reproductor MP3 de 512 MB E51 Azul,"Contoso, Ltd",Contoso,Economía,Azul,Alto,6.62,12.99,2005-05-03,Activad
3,101003,Contoso Reproductor MP3 de 1 G E100 Blanco,"Contoso, Ltd",Contoso,Economía,Blanco,Medio,7.4,14.52,2006-05-13,Activad
4,101004,Contoso Reproductor MP3 de 2 GB E200 Plata,"Contoso, Ltd",Contoso,Economía,Plata,Medio,11.0,21.57,2006-12-16,Activad
5,101005,Contoso Reproductor MP3 de 2 GB E200 Red,"Contoso, Ltd",Contoso,Economía,Red,Medio,11.0,21.57,2006-12-17,Activad
6,101006,Contoso Reproductor MP3 de 2 GB E200 Negro,"Contoso, Ltd",Contoso,Economía,Negro,Medio,11.0,21.57,2006-12-18,Activad
7,101007,Contoso Reproductor MP3 de 2 GB E200 Azul,"Contoso, Ltd",Contoso,Economía,Azul,Medio,11.0,21.57,2006-12-19,Activad
8,101008,Contoso Reproductor MP3 de 4 GB E400 Plata,"Contoso, Ltd",Contoso,Economía,Plata,Medio,30.58,59.99,2007-04-16,Activad
9,101009,Contoso Reproductor MP3 de 4 GB E400 Negro,"Contoso, Ltd",Contoso,Economía,Negro,Medio,30.58,59.99,2007-04-16,Activad
10,101010,Contoso Reproductor MP3 de 4 GB E400 Verde,"Contoso, Ltd",Contoso,Economía,Verde,Medio,30.58,59.99,2007-04-16,Activad
11,101011,Contoso Reproductor MP3 de 4 GB E400 Naranja,"Contoso, Ltd",Contoso,Economía,Naranja,Medio,30.58,59.99,2007-04-16,Activad
12,101012,Contoso Reproductor MP3 Flash de 4 GB E401 Azul,"Contoso, Ltd",Contoso,Economía,Azul,Medio,35.72,77.68,2007-06-16,Activad
13,101013,Contoso Reproductor MP3 Flash de 4 GB E401 Negro,"Contoso, Ltd",Contoso,Economía,Negro,Medio,35.72,77.68,2007-06-16,Activad
14,101014,Contoso Reproductor MP3 Flash de 4 GB E401 Plata,"Contoso, Ltd",Contoso,Economía,Plata,Medio,35.72,77.68,2007-06-16,Activad
15,101015,Contoso Reproductor MP3 Flash de 4 GB E401 Blanco,"Contoso, Ltd",Contoso,Economía,Blanco,Medio,35.72,77.68,2007-06-16,Activad
16,101016,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,50.56,109.95,2008-01-16,Activad
17,101017,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Red,"Contoso, Ltd",Contoso,Normal,Red,Medio,50.56,109.95,2008-01-16,Activad
18,101018,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Verde,"Contoso, Ltd",Contoso,Normal,Verde,Medio,50.56,109.95,2008-01-16,Activad
19,101019,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Rosa,"Contoso, Ltd",Contoso,Normal,Rosa,Medio,50.56,109.95,2008-01-16,Activad
20,101020,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Negro,"Contoso, Ltd",Contoso,Normal,Negro,Medio,61.62,134.0,2008-03-20,Activad
21,101021,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Azul,"Contoso, Ltd",Contoso,Normal,Azul,Medio,61.62,134.0,2008-03-20,Activad
22,101022,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Amarillo,"Contoso, Ltd",Contoso,Normal,Amarillo,Medio,61.62,134.0,2008-03-20,Activad
23,101023,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,61.62,134.0,2008-03-20,Activad
24,101024,Contoso Reproductor MP5 de 16 GB M1600 Azul,"Contoso, Ltd",Contoso,Normal,Azul,Medio,91.93,199.9,2009-03-11,Activad
25,101025,Contoso Reproductor MP5 de 16 GB M1600 Negro,"Contoso, Ltd",Contoso,Normal,Negro,Medio,91.93,199.9,2009-03-11,Activad
26,101026,Contoso Reproductor MP5 de 16 GB M1600 Verde,"Contoso, Ltd",Contoso,Normal,Verde,Medio,91.93,199.9,2009-03-11,Activad
27,101027,Contoso Reproductor MP5 de 16 GB M1600 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,91.93,199.9,2009-03-11,Activad
28,101028,Contoso Reproductor MP5 de 16 GB M1600 Red,"Contoso, Ltd",Contoso,Normal,Red,Medio,91.93,199.9,2009-03-11,Activad
29,101029,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,84.49,255.0,2008-06-02,Activad
30,101030,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Red,"Contoso, Ltd",Contoso,Normal,Red,Medio,84.49,255.0,2008-06-02,Activad
31,101031,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Naranja,"Contoso, Ltd",Contoso,Normal,Naranja,Medio,84.49,255.0,2008-06-02,Activad
32,101032,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Rosa,"Contoso, Ltd",Contoso,Normal,Rosa,Medio,84.49,255.0,2008-06-02,Activad
33,101033,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Negro,"Contoso, Ltd",Contoso,Normal,Negro,Medio,84.49,255.0,2008-06-02,Activad
34,101034,Contoso Reproductor MP3 portátil de 4 GB M450 Negro,"Contoso, Ltd",Contoso,Normal,Negro,Medio,48.92,95.95,2007-12-28,Activad
35,101035,Contoso Reproductor MP3 portátil de 4 GB M450 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,48.92,95.95,2007-12-28,Activad
36,101036,Contoso Reproductor MP3 portátil de 4 GB M450 Amarillo,"Contoso, Ltd",Contoso,Normal,Amarillo,Medio,48.92,95.95,2007-12-28,Activad
37,101037,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Plata,"Contoso, Ltd",Contoso,Deluxe,Plata,Medio,99.14,299.23,2006-02-02,Activad
38,101038,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Negro,"Contoso, Ltd",Contoso,Deluxe,Negro,Medio,99.14,299.23,2006-02-02,Activad
39,101039,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Verde,"Contoso, Ltd",Contoso,Deluxe,Verde,Medio,99.14,299.23,2006-02-02,Activad
40,101040,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Azul,"Contoso, Ltd",Contoso,Deluxe,Azul,Medio,99.14,299.23,2006-02-02,Activad
41,101041,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Plata,"Contoso, Ltd",Contoso,Normal,Plata,Medio,106.69,232.0,2009-04-18,Activad
42,101042,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Blanco,"Contoso, Ltd",Contoso,Normal,Blanco,Medio,106.69,232.0,2009-04-18,Activad
43,101043,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Negro,"Contoso, Ltd",Contoso,Normal,Negro,Medio,106.69,232.0,2009-04-18,Activad
44,101044,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 blue,"Contoso, Ltd",Contoso,Normal,blue,Medio,106.69,232.0,2009-04-18,Activad
45,101045,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Rosa,"Contoso, Ltd",Contoso,Normal,Rosa,Medio,106.69,232.0,2009-04-18,Activad
46,104001,WWI Lápiz inteligente de pulsos de 1 GB E50 Blanco,Wide World Importers,Wide World Importers,Economía,Blanco,Alto,76.45,149.95,2006-05-12,Activad
47,104002,WWI Lápiz inteligente de pulsos de 1 GB E50 Negro,Wide World Importers,Wide World Importers,Economía,Negro,Alto,76.45,149.95,2006-05-12,Activad
48,104003,WWI Lápiz inteligente de pulsos de 1 GB E50 Plata,Wide World Importers,Wide World Importers,Economía,Plata,Alto,76.45,149.95,2006-05-12,Activad
